,description,price
21431,"A pretty and lusciously layered Brunello with dark fruit, spice, leather, tobacco and rum cake aromas. The wine is dense and chewy, with a tight, velvety feel. Dark fruit and spice push the wine across the palate, and both the acidity and tannins are softer than in other 2006 riservas.",75.0
21432,"Not an obvious wine by any stretch, this riserva opens slowly and bashfully to deliver small pulses of cherry, chocolate and smoked bacon that build in intensity and power as the wine gains momentum in the glass. The tannins are present but are soft and firm without any bitter astringency. Age 10 years or more.",120.0
21433,"San Polo delivers a stellar 2007 Brunello with incredible density, concentration and personality. It starts off soft, smooth and supple until those still-young tannins appear on the close, giving the wine a firm backbone. Black fruit, cherry, rum cake, plum, black pepper and cured meat characterize the bouquet. In all, this is a beautiful ensemble with layers of beauty and freshness.",75.0
21434,"From an all-female winery, this riserva opens with a deep garnet color. Black espresso bean, vanilla pod, toasted chestnut and dark, brooding fruit characterize the bouquet. It is bright and crisp in the mouth, with a sharply defined edge and polished tannins.",70.0
21438,"Ripe fruit and red cherry, with spice, cinnamon and wood shop aromas, characterize the youthful bouquet of La Gerla's latest Brunello. But there's also a pretty mineral tone that gives the nose backbone and definition. It is delicate and feminine in the mouth, with elegant flavors of wild berry and blue flower that will surely grow in intensity as the wine evolves. Give it 10 more years.",50.0
21439,"Here is a very plush, dark and decadent riserva with soft and luscious tones of ripe fruit, blackberry, moist earth and pipe tobacco. The wine is smooth, dense and enduring. It can be either aged or consumed in 3–5 years. The style reflects a soft, round approach to the crisp 2006 vintage.",70.0
21440,"Here's a bright and bold Brunello with loads of ripe cherry, inky density and a beautifully polished feel with crushed mineral and wet river stone elements. It's a truly beautiful wine with stunning purity and intensity. All elements are balanced—from the fruit, to the spice, to the ethereal balsam notes. The mouthfeel is lively and intense and the finish is packed with berry, almond and savory persistence. Age 10–15 years.",60.0
21441,"Poggio all'Oro (a wine only produced in the best vintages) is a sophisticated and austere Brunello with just a tiny dab of sweet spice and red rose aromas on the bouquet. Beyond those are steady, savory pulses of tobacco, leather and dark cedar. The wine is plush, textured and rich, with a polished firmness that keeps it grounded on the palate.",150.0
21443,"A gorgeous Brunello, with bountiful and intense aromas of red fruit, blackberry, spice, leather and cedar wood that go on and on. The wine is pristine, chiseled and sharp—but bold and generous at the same time. There's a touch of bitter almond followed by softer tones of red berry and spice.",47.0
21444,"Put this beautiful Brunello in your cellar for at least 10–15 more years. Rennina opens with bold oak and cherry tones (that need more time to integrate), followed by plump, rich blackberry flavors, chocolate, leather and dark spice. It's a wine characterized by impressive density and opulence.",175.0
21445,"This attractive Brunello presents a wild, brambly side, with aromas of wild mushroom, forest floor, small berry and crème de cassis. It boasts a beautiful, deep color and plenty of concentration, with endnotes of spice, leather and dried tobacco leaf. The mouthfeel is solid, well defined and superbly structured.",61.0
21448,"This is a smooth, balanced and intense wine that opens with a deep, saturated appearance and plush aromas of sweet spice, rum cake, leather, tobacco and ripe blackberry. This bold, modern expression of Brunello shows acidity and tannins that are firm, but not biting.",135.0
21449,"Poggio Nardone's 2006 riserva is a neverending journey of opulence and excellence. Everything is delivered in supersized intensity—the cherry, chocolate, spice, cola, cassis, leather and cedar. The mouthfeel is soft, finely textured, shapely and long-lasting. This is a beautiful wine that will age many years to come.",65.0
21482,"Here is a generous, modern and bold expression of Sangiovese Grosso whose soft layers of chocolate and dark cherry fruit help soften the natural acidity and structure of the 2006 vintage. A polished mineral note adds attractive definition on the finish. Tight and very firm; age this wine 10–20 years.",120.0
21484,"This 2007 Brunello is a big, opulent pleasure bomb with lavish layers, loaded thickly on top of each other: Chocolate fudge, dark cherry, blackberry preserves, rum cake, prune, exotic spice, pipe tobacco, cola, humus and leather. It shows huge personality, intensity and staying power, too. All that density is backed by solid tannins and a steady firmness. Hold 10–15 years.",50.0
21485,"A beautifully composed and well-constructed Brunello, with bright berry tones of cassis and cherry backed by ethereal notes of root beer and eucalyptus. The wine shows a clean, crisp and structured sensation in the mouth—with a touch of bitter almond on the close—that revives and refreshes the palate.",70.0
21492,Opens with dark concentration and extra flesh and density in terms of texture. There's an extra padding of softness that helps buffer the vintage's high acidity and natural firmness. Not ready to drink for another 10 years at least.,92.0
21494,"This is an austere and sophisticated expression of Sangiovese Grosso, with dried tobacco and spice backed by prune and currant. The fruit is ripe and mature without being overtly jammy, chewy or too sweet. In fact, it presents a savory-sophisticated front with ample concentration and a polished texture. Good aging potential.",55.0
21495,"An intense and opulent Brunello, with bold brush strokes of ripe cherry, blackberry, chocolate, coffee and mocha. Concentrated fruit and firm tannins are marked by a pretty touch of dusty mineral on the finish.",120.0
21497,"Selezione Massimo is a dense and concentrated Brunello that delivers dark fruit, espresso, cola, blackberry and licorice. It's a beautiful interpretation of the Montalcino territory, executed with a bold, modern flair. Oak tones characterize the wine.",100.0
21498,"Tenuta di Sesta is run by a perfect father-mother-daughter-son team and is located in one of the least-traveled corners of Montalcino. The 2007 Brunello delivers sweet oak tones that drive the initial bouquet and are soon followed by bright cherry, vanilla bean, sweet mocha and rum cake. Pretty balsam notes at the back will undoubtedly increase and evolve with age. Cellar this wine 10 years.",90.0
21499,"Gorgeous, beautiful Brunello. Dark concentration and excellent intensity. Loads of complexity that peels back slowly layer after layer as the wine evolves. Rock-solid structure and freshness that point to a happy cellar evolution. Aromas of dark fruit, cola, cured meat, balsam, dried herb, tobacco and leather.",65.0
21500,"This wine has some big shoulders. There's a dusty, aged quality, with sophisticated, silky tannins and tertiary aromas of black licorice, dried tobacco, peppercorn and dried berry fruit. It's firm, tight and compact; age 10 more years.",120.0
21502,"This interpretation of Sangiovese Grosso is clean, polished, ripe and elegant. It opens with dark concentration and berry notes of cassis and candied cherry, and then rum cake, leather and tobacco show up on the finish, backed by firm tannins and bright acidity.",75.0
21504,"Here is a particularly impressive wine from one of Montalcino's top estates. The wine opens with ethereal balsam notes of eucalyptus, humus, dried fruit and dried mint. Beyond those elegant tones are sturdier layers of cured meat and savory spice. It shows bold concentration, thick power and firmness on the close, with a drying mineral finish. Let it age five more years.",63.0
21505,"This is a lovely Brunello with black cherry, plum, smoke, bacon, leather and a drying touch of crushed mineral on the nose. It is rich and concentrated, with a slightly sweet-smelling bouquet. The mouthfeel is compact, tight and polished—but there is excellent length too.",65.0
21506,"Dark fruit aromas of cherry, blackberry and exotic spice comprise the bouquet. There's inky density, contrasted against delicate aromas of lead pencil, cola and cured meat. The wine is plush, rich and extracted, with dusty, firm tannins.",85.0
21507,"La Magia Brunello is a brooding, masculine wine filled with tobacco smoke and cigar box. At the back are tones of dried fruit, blackberry preserves, crème de cassis and prune. It shows wonderful intensity and elegance with loads of personality. Spice, black pepper and bitter chocolate also appear on the long, silky finish. It promises to age well.",50.0
21508,"A bold, plump and soft expression of Brunello, with sweet berry fruit, chocolate fudge, cinnamon spice and marzipan. The wine's appearance is dark and well extracted. Despite the grandeur of the nose, the mouthfeel is compact, tight and firm.",42.0
21509,"Opens with dark concentration and ripe berry fruit with layers of plum, blackberry, dark chocolate, pipe tobacco, cherry liqueur, cola and underbrush. It offers a wonderful 360-degree portrait of Sangiovese Grosso. Tight structure, integration and loads of fruity intensity. Drink after 2018.",45.0
21542,"This is a beautiful wine with opulent aromas of chocolate fudge, cherry, vanilla bean and bright berry fruit. Yet in the mouth, it's is very focused, with enough structure and acidity to promise a long future. The finish is silky and fine.",90.0
21544,"This Brunello delivers an intense and complex bouquet featuring beautifully integrated aromas of dark fruit, spice, leather and tobacco. Tight tannins promise a long future ahead.",65.0
21545,"Sweet oak tones of cinnamon, ripe cherry and raspberry are delivered via a beautifully intense bouquet. This is a Brunello with tight tannins, fresh acidity and solid structure.",130.0
21547,"Inky-dark concentration segues to bold berry notes and loads of dark, deep fruit: plum, prune, blackberry and rum cake. There are also pretty dustings of dry mineral and dried herb at the back. This is a bold Brunello with power, determination, structure and balance. It needs at least 10 years of cellar aging.",60.0
21550,"Well stitched together with a broad, wide assembly of dark fruit, spice and cola-like aromas. All the wine's elements sing loud as a single chorus; bold, plush, chewy. Ends with ripe fruit, rum cake, pipe tobacco and dark espresso bean. Firm, great length.",40.0
21552,"Always a beautiful wine, this edition of Riserva gli Angeli is austere, sophisticated, lean and elegant. It shows a fine, silky texture with bright aromas of wild berry, cola and mint. There are also interesting tertiary aromas of leather, dusty mineral and cured meat at the back.",70.0
21553,"A whiff of fresh flowers from a rose garden or a lavender field makes for a nice first impression. Beyond that is dark fruit, black cherry and crème de cassis. Shadings of lead pencil, leather and tobacco fill in the rear. This Brunello presents a soft, round mouthfeel with cherry flavors capped by tight structure.",79.0
21557,"A dark inky wine with a bold garnet color and some amber highlights on the rim. The wine is soft, plush and rich with candied fruit, leather, spice, licorice, crushed mineral and asphalt.",85.0
21558,"Bold and elegant at the same time. Packs a powerful punch in a silk glove. Intense aromas of ripe fruit, spice, cherry liqueur, cola, dried sage and cigar box. The mouthfeel is pristine and structured, with a precise, tonic and streamlined impact.",190.0
21560,"Named after one of the most beautiful stone castles in Europe, Poggio alle Mura is a dark and compelling wine that shows a clean quality, a fresh mouthfeel and excellent length. Beautiful fruit intensity with cherry, blackberry, spice, leather and tobacco describe the bouquet. Good aging potential.",82.0
21562,"La Fortuna Brunello shows a distinctive nose with a vein of sweet spice that holds up the plump fruit. You'll find rum cake, cinnamon bun, Christmas spice and chocolate-covered cherry. It's soft, plush and rich on the finish, with a lingering note of sweetness that drives its cheerful personality.",49.0
21563,"Austere, tight and sophisticated, this well-extracted Brunello shows dry aromas of crushed granite along with ethereal tones of dried ginger, black licorice and root beer. Inky appearance with chewy richness. The mouthfeel is round, chewy and packed with sweet fruit and spice. Drink after 2015.",72.0
21564,"This full-bodied wine opens with compelling aromas of black fruit, smoked bacon, leather, cinnamon and crushed clove. There's a sassy, spicy characteristic here that is further underlined by the wine's natural sweetness and roundness.",106.0
21565,"The aromas feature beautiful tones of black mineral, licorice, peppercorn and ripe fruit. This is a dark, brooding Brunello with an elegant, dry nose and layers of opulence that build momentum. Overall, it's round, rich and well structured. Drink after 2018.",75.0
21566,"Dense, bold and beautiful, with notes of plush cherry, blackberry, clove, cinnamon, cola and dried rosemary. Polished, with a dusty, silky feel to the long finish.",110.0
21568,"A huge difference from last vintage, this is soft, supple, dense and enduring, with loads of fruit intensity and a plush, spicy richness. Black fruit, rum cake, cherry liqueur and smoked bacon on the close. Modern, bold and very bright.",
21569,"Inky color, with a broad array of aromas, including earth, candied fruit, plum cake and cinnamon spice. Smooth and luscious in the mouth, where its tight structure shows promising potential for longevity.",150.0
21600,"This riserva is silky, firm and polished, with bright fruit nuances of wild berry, almond skin, cola and lingering menthol overtones. The mouthfeel is bright and crisp, with a very fine, smooth texture. Dusty mineral notes appear on the finish.",59.0
21601,"There's a sassy, spicy quality here, with clove and spice, cola, root beer and black licorice. Smooth, dark extraction with bold structure.",
21602,"This Brunello opens with an intense, dark garnet color and shows lush softness and ripe blackberry fruit with perfumed notes of blue flower, plum cake and sweet spice. The mouthfeel is characterized by firm structure and yielding tannins.",50.0
21603,"A pleasurable, opulent wine with rich tones of cherry and sweet chocolate backed by dense concentration and extraction. Plush, ripe, modern, soft and dense; a real crowd-pleaser. Soft, thick texture with loads of spice, dark fruit and staying power.",50.0
21604,"This Brunello offers bright aromas with lively cherry, cola, humus, dark spice and pipe tobacco, as well as savory tones of beef bresaola and even a touch of white peppercorn. Impressive complexity. Elegant and streamlined on the close.",64.0
21606,"This successful riserva displays opulence and a bold, modern style that focuses on bright cherry and savory spice aromas. The wine is loaded with density and richness, and combines a ripe soft feel with a lively berries on the finish.",75.0
21607,"Here's a gorgeous wine with a deep, inky color and super extraction that is elegant but powerful at the same time. This is a balanced wine, but it's also an intense wine, with loads of ripe fruit, spice and tobacco. It feels smooth and rich, with a finely crafted texture that is velvety and supple.",55.0
21608,"This beautiful riserva opens with dark concentration and bold berry notes spanning from cassis to blackberry. It's a ripe, extracted wine with savory spice and cured meat aromas that fill in the back. Crushed black pepper and cardamom also make a brief, but lively, appearance.",
21611,"A nice surprise. Great density and richness with layers of dark fruit and spice. Thick concentration and a bold, confident presentation. Plush texture, length and density. Age 5–10 more years.",50.0
21612,"Loads of balsam intensity with eucalyptus, ground ginger, cola, dried fruit and crème de cassis. This wine also adds a pretty floral note of red rose petal or potpourri that really steals the show. Loads of balance and complexity. Smooth, long finish, good length. Drink after 2015.",65.0
21614,"From one of Tuscany's most celebrated wine areas, this luscious wine is soft, beautifully textured and plush. It shows ripe red fruit, plus leather, tobacco, sweet cinnamon and marzipan on the bouquet.",
21615,"A rich and sophisticated wine, with loads of dark fruit and exotic spice. It's bright ruby-garnet appearance, with bright acidity and a fresh, lively finish.",85.0
21616,"The ripe fruit element is perfectly contained and just short of seeming overdone or jammy. It's soft and round, with loads of oak-driven spice, like cinnamon and ground clove, and plump tones of red cherry, blackberry and plum. What's really nice is the freshness and overall supple texture.",70.0
21617,"Toasted, tight, even gritty in spots, with firm tannins and bold aromas. The wine shows power and personality, with ripe fruit, spice, leather, tobacco and thick density.",60.0
21618,"Bright, textbook, loads of Sangiovese intensity with complexity and tight aromas of wild berry, blueberry, almond, white pepper, spice and rum cake. Tight and streamlined in the mouth. Needs more time to soften with cellar aging.",50.0
21620,"More spice than ripe fruit characteristics here. There's a dark, savory note of smoked ham or bacon as well, with back-end notes of cola and root beer. Warm, wintery personality. Streamlined and polished in the mouth.",75.0
21624,"Well etched, defined and crisp, this is a strong, determined wine with loads of power, acidity and firmness. The wine shows all the criteria for a long cellar life, softening slowly as the wine evolves. Age 10–20 more years.",49.0
21625,"A plump and juicy Brunello with bold, fresh fruit and loads of aromatic intensity. Cherry, plum and blackberry are backed by evolved tones of leather, spice and cola. Shows delicate details of wild berry and almond paste on the close. Smooth and velvety.",60.0
21626,"Stands out for its complexity and length, showcasing cherry liqueur, blackberry preserves, root beer, dried ginger and Spanish cedar. There's an exotic Asian quality to this Brunello that adds interest. Solid, shapely and velvety in the mouth.",80.0
21627,"Here's an austere, sophisticated wine, with a pretty garnet color and finely polished aromas of cassis, wild berry, cola, wet river stone, barbecue smoke and bresaola. There's good complexity and integration and this Brunello delivers satisfying freshness and balanced acidity.",72.0
21629,"Deep garnet in color, with dark amber highlights. There's loads of intensity here, with ripe, syrupy fruit, blackberry preserves, prune and dark plum. On the savory side, the wine presents an even succession of leather, tobacco and cedar. It's soft, generous and thickly textured on the luscious finish.",72.0
21660,"Shows balance and integration and a dark, inky appearance. Blackberry, plum cake, cinnamon bun, leather and tobacco aromas. Chewy, ripe mouthfeel frames plush fruit, while the dusty, structured finish features loads of dried tobacco leaf.",75.0
21662,"Dark, inky and thick, this hearty Brunello begs for grilled steak. It opens with ripe fruit—blackberry, plum and prune—and has a background rendering of spice, leather and cigar box. It shows a big, bold style, with loads of soft density and opulence. Good structure, too. Drink after 2015.",60.0
21666,"Pretty ensemble of bright fruit, spice and cured meat, with ample concentration. Plump and round in the mouth, with loads of aromatic intensity. The mouthfeel is tight and chiseled.",94.0
21670,"Holds back just a bit initially, but then evolves slowly and steadily. Delivers a very firm, polished and linear feel in the mouth. Dusty aromas of crushed stone and crushed white pepper are backed by cola, cassis and red currant. An elegant and sophisticated Brunello.",90.0
21671,"This fine and delicate Brunello shows soft elegance and sophistication in the form of cassis, wild berry, white pepper, root beer, toasted nut and cigar tobacco. The mouthfeel is firm and clean, with elements of tannic structure and fresh acidity that work well together. The oak element still needs time to integrate.",70.0
21672,"Sweet spice and dark fruit aromas offer all the telltale signs of a top-notch riserva. The wine is bright with etched acidity and strong tannins. Let it age 10 years or more. Defined, compact mouthfeel.",153.0
21675,"Youthful, bright and direct in its bold cherry and blueberry aromas. Vinous, chewy and raw with more evolution ahead. Chewy density with bold concentration and ripe fruit. Give it 4–6 more years.",80.0
21677,"A lovely riserva, with bold, opulent notes of cherry and plum. Leather, tobacco, rum cake, cola and dried sage add complexity.",75.0
21679,"Opulent and floral, with pressed rose and blue violets. Soapy aromas with church incense and cinnamon potpourri. Very enduring and intense with tight, firm tannins and good length.",55.0
21681,"Sharply defined aromas of spice, chiseled mineral, dried tobacco and cassis open the bouquet of this dark, concentrated wine. There's a floral note of spicy potpourri and cinnamon stick, tight tannins and bright acidity.",140.0
21683,"Pressed rose, slightly dusty mineral shadings, spice and black fruit make up the bouquet of this elegant, harmonious wine. This expression is astringent and firm, with bright acidity and a solid tannic backbone. Let it soften with more cellar aging.",80.0
21685,"Shows sweet blackberry or cherry liqueur aromas, followed by spice, leather and moist pipe tobacco. Coffee or dark espresso, too. Well structured, firm and extracted, with good intensity and staying power. Drink after 2018.",70.0
21720,"A lovely, lush wine with bold, direct aromas of ripe cherry, cured meat, blackberry preserves and exotic spice. It presents a clean and fresh mouthfeel, with solid structure on the long finish.",25.0
21721,"A Brunello with broad shoulders and a powerful bouquet that delivers bright, bold aromas of ripe fruit, dark spice, leather and dried tobacco. The wine's structure and dark fruit flavors move evenly over the palate with smoothness and harmony.",60.0
21722,"Delicate embroidered with sage, eucalyptus, cola, wild berry, white cherry, rum cake and savory spice, this wine shows the kind of pretty berry aromas that are brighter than they are intense. In fact, the wine shows elegant restraint with the potential for a beautiful evolution in the bottle.",90.0
21723,"A vineyard-designated Brunello with sharp clarity and purity. Sangiovese aromas of wild berry, earth, pressed blue flower and forest floor. Lively and direct on the palate, with integrated acidity and firm structure.",48.0
21725,"A bold, plush pleasure bomb with thick layers of bright cherry and chocolate. Loads of tobacco, spice and new leather. Huge intensity and bold aromas. Fresh oak notes of vanilla and cinnamon show first signs of integration. A bold, modern Brunello with some tannic astringency.",60.0
21726,"Shows a pretty, polished nose with dusty mineral notes backed by elegant tones of dried berry, spice and leather. Nice complexity and balance. Loads of tobacco-like sensations on the close.",118.0
21727,"Inky, ripe, nicely extracted and loaded tight with blackberry, spice and cherry aromas, this is a beautiful Brunello that delivers intensity, staying power and promises easy food-pairing potential. Velvety, soft, rich and plush in the mouth.",120.0
21728,"This riserva is loaded with fruit. It's a dark, inky wine that oozes black cherry, exotic spice, leather and moist pipe tobacco. After the tightness and firmness of the mouthfeel, the wine offers a playful endnote of blackberry jam.",50.0
21729,"Opens with dark concentration and syrupy aromas of cherry liqueur, blackberry preserves and cassis concentrate. The wine is soft, plump and chewy, with a smooth, thick quality to its texture that makes it a natural pairing partner to red meat.",62.0
21730,"Pretty savory tones and barbecue aromas combine to create a bold Brunello. Ripe fruit, black pepper, rum cake, black currant and blackberry preserves all appear in the background. Silky-smooth and firm, it shows a clean, sharp, bold close.",48.0
21736,"Luscious dark fruit and huge aromatic complexity: dark red cherry, crème de cassis, black licorice, dried ginger and ground pepper. Defined and tight in the mouth, with a long finish.",65.0
21737,"Features sweet fruit, plum, prune and a savory element of spice and smoke; loads of leather and tobacco as well. Deep rich, concentration and a plush, velvety feel. Oak tones must still integrate, but promise a nice future.",30.0
21738,"Thick and dark, with generous fruit, spice, leather and tobacco. This is a wine that does not hold back from an aromatic point of view. Mouthfeel is tight, firm and ends with polished tannins.",45.0
21739,"Linear, focused and bright, with rich, fleshy fruit in the form of cherry, blackberry and spiced plum cake. This is a fleshy pretty wine with an elegant mouthfeel.",55.0
21743,"This wine offers loads of coffee and soft intensity, with ripe fruit, blackberry, rum cake and exotic spice. That extra roundness works well with this wine's high acidity and tannic structure.",47.0
21744,"Loads of lush cinnamon, spice, dark fruit and overall intensity. Supple and velvety with cherry, raspberry, vanilla and espresso bean.",
21745,"Black cherry and coffee notes come to the fore and are followed by softer layers of spice, clove and cardamom. Pressed roses too. Firm and linear in the mouth with a tight tannic bite on the close. Drink after 2018.",60.0
21746,"Opulent tones of toasted espresso bean and soft chocolate fudge play a supporting role to bold berry and dried raspberry. Background floral tones of dried lavender and red rose. There's a touch of earthiness, too, with button mushroom and forest floor. Tannins are nicely polished and firm. Streamlined, elegant.",63.0
21747,"Big, bold and dark in style. Loads of exotic spice, soy sauce, Teriyaki, cured meat, ripe fruit and savory peppercorn. The mouthfeel is thick and soft. Definitely for those who like bold personality in their Tuscan red.",80.0
21748,"Opens with a dry, dusty firmness that comes through both on the nose and in the mouth. This is fresh and tightly woven with very fine aromas of cassis, spice, crushed stone and milled white pepper. Very firm and tight; age 10 years.",52.0
21780,"Pretty textbook Brunello with smooth bright berry nuances packed in a traditional, tight body. Good acidity and firmness with well structured, silky tannin.",75.0
21781,"Pleasurable and modern, with a dense opulence that makes a wine like this attractive on so many levels. It delivers deep layers of ripe fruit, blackberry, vanilla bean, espresso and black pepper.",120.0
21783,"Tight, linear and compact. Clean, crisp and precise. Small berry aromas of cassis, wild berry and cherry are framed by firm, dusty tannins and a touch of toasted oak.",75.0
21784,"This well extracted wine is loaded with ripe fruit, cassis, tobacco, leather and chocolate-covered cherry. The wine is still young and astringent, so let those tannins soften over the next 5–10 years.",60.0
21785,"A wine that speaks of territory and tradition, it's clean, polished and pristine, with a nice balance between fruit and spice. Thick tannins need more time to age and soften",70.0
21787,"Dark, brooding, thick, masculine, this wine shows loads of big Brunello personality. It offers thick concentration, a velvety and plush mouthfeel, followed by dark flavors of blackberry, prune, spice, leather, cedar and pipe tobacco.",135.0
21790,"Sophisticated, with tertiary aromas of crushed mineral, asphalt, cola, dried mint, wild berry and cassis. On the palate, it's tight, compact and linear, with a long, polished finish.",90.0
21791,"This beautiful Brunello opens with lavish tones of dark fruit, exotic spice, espresso bean and crushed black pepper. The mouthfeel is interesting because it starts off bold and rich, but ends with the focused or chiseled sharpness that is typical of Sangiovese Grosso.",95.0
21793,"This riserva opens with a textured, granular mouthfeel that is packed tight with leather, tobacco, dried berry and cola flavors. The close is fresh and menthol-driven.",58.0
21794,"Textbook Brunello nose from a warm vintage. It grabs from a wide array of elements at its disposal, with balsam, cola and humus, backed by ripe fruit and dark cherry. More layers appear as leather, earth and cured meat. Great complexity and balance. Closes elegant, fresh and clean.",50.0
21795,"Tradizione is a soft and luscious Brunello with inky dark concentration and intense aromas of dark fruit, rum cake and currant. The wine is smooth and supple, with a finish that can be counted in minutes.",46.0
21796,"There's an exotic, almost Indian personality, with aromas of dark spice, clove and cardamom. Black fruit, prune and currant are also in evidence. Bold, black and inky thick. It's soft, round and long on the close with pretty freshness, too.",40.0
21797,"Loads of balsam intensity and an array of dried herb, red fruit, wild berry, cedar wood and forest floor aromas. It's very full and generous in the mouth, with firm, but polished tannin.",60.0
21799,"Smoke and dark fruit, with a touch of drying mineral and softer background tones of chocolate and rum cake. There's a very polished, dry feel to this wine. The oak notes are still integrating, and the finish is tight and firm.",60.0
21801,"Opens with a sweet opulent nose driven by aromas of plump cherry, moist pipe tobacco, chocolate fudge, vanilla bean and ground espresso. But the wine is not modern or overtly international in terms of its style. It shows deep roots in Montalcino tradition and a bold, overt personality. Earth, leather and dried tobacco drive the finish.",50.0
